category,position_title,tfidf_similarity,embedding_similarity,skill_overlap,length_diff,weighted_skill_overlap,experience_gap,keyword_strength,section_similarity,label
BUSINESS-DEVELOPMENT,"K-12 Director of Educational Partnerships, Northeast - Remote #1931",0.09256354298661987,0.08793536583728886,0.0,0.0,0.5,32.0,0.125,0.0,1
CONSTRUCTION,Marketing Visionary,0.08420429542100195,0.07999408064995185,0.5,0.27366666666666667,0.5,21.0,0.125,0.08701234950451957,0
AVIATION,Network System Administrator,0.06381544727211788,0.060624674908511984,0.0,0.0,0.0,0.0,0.0,0.03819453119007787,0
HR,Sales Associate – Luxury Brand in NYC!,0.0884017989037473,0.08398170895855993,0.5,0.2826666666666667,0.5,8.0,0.0,0.0,0
SALES,"Account Executive - Columbus, OH - AMO Sales and Services, Inc..",0.09624497211164852,0.09143272350606609,0.5,0.0,0.5,17.0,0.125,0.0,1
DESIGNER,Art director,0.17150585713049407,0.16293056427396935,0.5,0.0,0.5,0.0,0.0,0.0,1
BANKING,Human Resource Coordinator,0.040845531651237395,0.038803255068675525,0.5,0.6433333333333333,0.5,7.0,0.125,0.010164735171003728,1
HEALTHCARE,Patient Care Tech,0.1411760433050496,0.13411724113979712,0.5,0.0,0.5,0.0,0.0,0.0,1
BANKING,Work From Home - BEGIN IMMEDIATELY - Data Entry Clerk,0.0425850829822415,0.040455828833129426,0.5,0.38566666666666666,0.5,20.0,0.0,0.015491292408335081,0
PUBLIC-RELATIONS,GRC Product Risk Analyst (Remote),0.04422237450793014,0.042011255782533626,0.0,0.0,0.5,0.0,0.125,0.0,0
ADVOCATE,Commercial Litigation Attorney,0.011355697735170707,0.01078791284841217,0.5,0.6916666666666667,0.5,0.0,0.0,0.0,1
DESIGNER,"Equity Research Associate, Biotechnology",0.05130587402518742,0.04874058032392805,0.5,0.003,0.5,0.0,0.0,0.0321788811500334,1
DESIGNER,Sales Associate – Luxury Brand in NYC!,0.06390538577896947,0.06071011649002099,0.5,0.2826666666666667,0.5,0.0,0.0,0.0,1
DIGITAL-MEDIA,"Executive Administrative Assistant, Brokerage",0.04754508366664635,0.045167829483314034,0.0,0.20033333333333334,0.5,0.0,0.125,0.0,0
AGRICULTURE,Engineering Lead - Analytics Platform,0.05393294591584431,0.05123629862005209,0.0,0.0,0.0,3.0,0.0,0.0,0
FINANCE,Business Analyst- Supply Chain,0.056839816396411585,0.053997825576591,0.0,0.0,0.5,0.0,0.0,0.06743557494279506,1
CONSTRUCTION,Program Coordinator,0.041589695463537774,0.039510210690360884,0.5,0.10266666666666667,0.5,10.0,0.25,0.0,0
FINANCE,Vice President of Solution Sales - Financial Services,0.06566725143995909,0.06238388886796113,0.5,0.0,0.5,0.0,0.0,0.09087379697000786,1
HEALTHCARE,Clinical Account Executive,0.039522348844055935,0.03754623140185313,0.5,0.03766666666666667,0.5,15.0,0.0,0.0,1
BUSINESS-DEVELOPMENT,MARKETING SPECIALIST,0.022150774938160624,0.02104323619125259,0.5,0.148840206185567,0.5,0.0,0.0,0.018271748154595365,0
ENGINEERING,Design Consultant,0.047991267173742594,0.045591703815055465,0.5,0.0,0.5,0.0,0.125,0.028975434022072907,0
APPAREL,CEO - Cannabis & Investment,0.05270631629341786,0.05007100047874697,0.0,0.0,0.5,0.0,0.0,0.020449873102675202,1
ADVOCATE,Loss Prevention (LP) Detective,0.047359574931146536,0.04499159618458921,0.5,0.0,0.5,25.0,0.125,0.01337900067038117,0
AGRICULTURE,Management Consulting Director- Strategy and Operations (San...,0.042751153848356156,0.04061359615593835,0.5,0.0,0.5,0.0,0.125,0.013638196906450465,0
DESIGNER,Marketing and Visuals Manager for Artist Management Agency,0.04442310235444578,0.042201947236723485,0.5,0.332,0.5,0.0,0.125,0.0,1
ADVOCATE,Commercial Real Estate Attorney,0.027255058101211028,0.025892305196150475,0.5,0.5706666666666667,0.5,7.0,0.0,0.014129510072417356,1
FITNESS,Dir Software Solutions Sales Senior,0.07595980553561722,0.07216181525883636,0.5,0.0,0.5,0.0,0.125,0.0,0
ENGINEERING,Software Engineer (Remote),0.059687389577977853,0.05670302009907896,0.0,0.0,0.0,12.0,0.125,0.0,1
BUSINESS-DEVELOPMENT,Systems Administrator,0.047714912259503015,0.04532916664652786,0.0,0.0,0.0,0.0,0.125,0.0,0
FITNESS,Social Media Manager,0.031581512331338935,0.030002436714771985,0.5,0.8223333333333334,0.5,0.0,0.0,0.05713709136887037,1
PUBLIC-RELATIONS,Vice President/Practice Leader of Tax,0.035191200461065796,0.03343164043801251,0.5,0.0,0.5,30.0,0.25,0.0,0
DESIGNER,"Acquisitions, Associate",0.027902092789191413,0.02650698814973184,0.0,0.0,0.5,3.0,0.0,0.0,1
INFORMATION-TECHNOLOGY,Remote Software Developer (Remote),0.101818868505306,0.09672792508004069,0.0,0.0,0.0,0.0,0.0,0.0,1
CONSULTANT,Senior Project Manager - Education,0.08843251939847446,0.08401089342855074,0.5,0.0,0.5,0.0,0.0,0.03280834621359069,0
TEACHER,Systems Administrator,0.04913296898032637,0.046676320531310045,0.0,0.0,0.0,0.0,0.125,0.0,0
CONSTRUCTION,Construction Project Manager (Remote),0.12825755953552315,0.12184468155874699,0.5,0.0,0.5,7.0,0.0,0.055660888943425024,1
APPAREL,Retail Sales Associate,0.03128822267411569,0.029723811540409904,0.5,0.6633333333333333,0.5,0.0,0.125,0.0,0
BUSINESS-DEVELOPMENT,"Senior Accountant - Florham Park, NJ",0.02379503587166722,0.02260528407808386,0.0,0.5486666666666666,0.5,20.0,0.0,0.061214170887196245,1
DESIGNER,Design Consultant- Interior Design/Sales Consultant in Englishtown at Ethan Allen Global Inc.,0.16855532094247824,0.16012755489535432,0.5,0.16074523396880416,0.5,0.0,0.0,0.11557708948712501,0
DIGITAL-MEDIA,MARKETING SPECIALIST,0.06666574218646858,0.06333245507714515,0.5,0.5596666666666666,0.5,4.0,0.0,0.0,1
DESIGNER,Web Designer,0.09467698559751332,0.08994313631763765,0.0,0.0,0.5,0.0,0.125,0.10299365153067783,1
BUSINESS-DEVELOPMENT,Sales Leader I - Business Banking Sales Manager,0.10703883844331286,0.10168689652114721,0.5,0.0,0.5,0.0,0.0,0.06847793803216644,1
ADVOCATE,Data Entry Clerk,0.06197521718175917,0.05887645632267121,0.5,0.773,0.5,0.0,0.0,0.0,0
BUSINESS-DEVELOPMENT,"K-12 Director of Educational Partnerships, Northeast - Remote #1931",0.06726545782427393,0.06390218493306023,0.0,0.0,0.5,0.0,0.0,0.01519710321645179,1
CHEF,Bilingual Care Advocate (Hebrew),0.021063492291282182,0.020010317676718074,0.5,0.0,0.5,0.0,0.25,0.0,0
DIGITAL-MEDIA,Sr analyst compliance,0.02769452599492669,0.026309799695180356,0.5,0.0,0.5,15.0,0.125,0.0,0
AVIATION,Escalations Specialist - Customer/Patient Experience Coordinator - Full Time Contract/Remote,0.026603964518318753,0.025273766292402813,0.5,0.0,0.5,0.0,0.0,0.0,0
BANKING,File Clerk Remote,0.029637091162841616,0.028155236604699534,0.5,0.65,0.5,0.0,0.0,0.10371551133313005,0
ENGINEERING,Solo Class A CDL Driver,0.022799034270965298,0.021659082557417032,0.5,0.5143333333333333,0.5,8.0,0.125,0.02349443573259413,0
INFORMATION-TECHNOLOGY,Software Engineer (Remote),0.07100933588336915,0.0674588690892007,0.0,0.0,0.0,0.0,0.125,0.02574652288456368,1
FINANCE,"Business Analyst, ACS Publications Sales",0.07767874392796412,0.07379480673156591,0.0,0.0,0.0,25.0,0.0,0.008079828736381417,1
SALES,Test Developer,0.07830837023043684,0.074392951718915,0.0,0.3443333333333333,0.0,4.0,0.0,0.0,0
ADVOCATE,Inventory Clerk,0.0,0.0,0.5,0.9526666666666667,0.5,0.0,0.125,0.0,0
INFORMATION-TECHNOLOGY,Senior eCommerce Engineer,0.04471749564497238,0.04248162086272376,0.5,0.0,0.5,0.0,0.0,0.0,1
FINANCE,Supply Chain Analyst (ED),0.04714019060520751,0.04478318107494713,0.0,0.2723333333333333,0.5,0.0,0.0,0.0,1
ARTS,Art Director,0.029389383751335485,0.02791991456376871,0.5,0.6313333333333333,0.5,0.0,0.0,0.025551232139171164,1
SALES,"Outside Sales Executive, Remote",0.06069647207696006,0.05766164847311205,0.5,0.138,0.5,0.0,0.0,0.0,1
ACCOUNTANT,Senior Software Engineer,0.06964876379477741,0.06616632560503855,0.0,0.0,0.5,15.0,0.0,0.0,1
CHEF,Marketing Specialist,0.042422453340564915,0.04030133067353667,0.0,0.0,0.5,29.0,0.0,0.0,0
ADVOCATE,Executive Assistant to CEO,0.06073903092812227,0.057702079381716155,0.0,0.15666666666666668,0.5,0.0,0.0,0.0,0
AUTOMOBILE,Career Coach (Remote),0.033465738336612975,0.031792451419782326,0.5,0.0,0.5,0.0,0.0,0.014015917202948229,1
BPO,"Performance Marketing Specialist, Paid Media",0.02884680553860962,0.027404465261679136,0.5,0.0,0.5,6.0,0.0,0.0,0
HR,B2B Marketing Manager,0.04404191003497056,0.041839814533222025,0.5,0.15733333333333333,0.5,0.0,0.125,0.0,0
BUSINESS-DEVELOPMENT,"Assurance Senior, Public Accounting",0.0408410879275831,0.03879903353120394,0.5,0.21566666666666667,0.5,0.0,0.125,0.01789214373780318,1
ACCOUNTANT,E-commerce Project Manager,0.040019580429641155,0.038018601408159096,0.0,0.077,0.5,0.0,0.0,0.0,1
BUSINESS-DEVELOPMENT,"Sr. Product Marketing Manager - Growth, Music Industry",0.061859781298378824,0.05876679223345988,0.5,0.0,0.5,0.0,0.125,0.06467546470022417,1
DIGITAL-MEDIA,Marketing Intern,0.0964375909375279,0.0916157113906515,0.5,0.07233333333333333,0.5,0.0,0.125,0.0,1
ARTS,Executive Assistant to CEO at Chartis Federal (Hybrid: Remote ...,0.054952854037244814,0.05220521133538257,0.5,0.0,0.5,0.0,0.0,0.0,1
SALES,Licensed Insurance Agent Remote Executive Sales Manager,0.058637135751970104,0.05570527896437159,0.0,0.07969323107702568,0.5,0.0,0.0,0.0932312924719087,1
PUBLIC-RELATIONS,Senior Software Engineer -  Virtualization Group - (Remote),0.027512932075128428,0.026137285471372007,0.0,0.0,0.5,0.0,0.0,0.016393920731695842,0
FINANCE,Retail Furniture Sales Consultant,0.026365469202223244,0.02504719574211208,0.5,0.4046666666666667,0.5,0.0,0.0,0.0,0
BANKING,CEO Coach,0.03748857595818491,0.03561414716027566,0.5,0.343,0.5,0.0,0.0,0.0,0
INFORMATION-TECHNOLOGY,COORDINATOR - MARKETING,0.040762100522922354,0.038723995496776235,0.5,0.0,0.5,0.0,0.125,0.0,0
FINANCE,Staff Strategic Operations Manager,0.06555504111555283,0.062277289059775184,0.5,0.0,0.5,0.0,0.0,0.0,0
BUSINESS-DEVELOPMENT,Automotive Business Development Center (BDC) Representative,0.07893907207364122,0.07499211846995915,0.0,0.3486666666666667,0.5,10.0,0.0,0.0,1
BUSINESS-DEVELOPMENT,"Global Business Development, Business Solutions Specialist",0.08390867910837647,0.07971324515295765,0.5,0.0,0.5,0.0,0.125,0.053368701769945764,1
ACCOUNTANT,Senior Accountant,0.12399383654475052,0.11779414471751298,0.0,0.26566666666666666,0.5,0.0,0.0,0.0,1
INFORMATION-TECHNOLOGY,"Analyst II, Supply Chain - Corporate - US (Open)",0.06348728913509945,0.060312924678344475,0.0,0.0,0.5,0.0,0.0,0.0,0
SALES,Sales Executive Richmond Hotel,0.04555790635455918,0.04328001103683122,0.5,0.0,0.5,4.0,0.0,0.09440272874948477,1
AUTOMOBILE,Project Intern,0.05576820907443549,0.05297979862071371,0.5,0.6966666666666667,0.5,0.0,0.0,0.01895177658758097,0
HEALTHCARE,Registered Nurse - RN - Senior Care!,0.04514777820831701,0.042890389297901156,0.5,0.31266666666666665,0.5,0.0,0.0,0.0,1
INFORMATION-TECHNOLOGY,Dishwasher/Kitchen Cleaner,0.03256010455776661,0.03093209932987828,0.5,0.6433333333333333,0.5,5.0,0.0,0.0,0
PUBLIC-RELATIONS,Customer Service Agent,0.03656686699029801,0.03473852364078311,0.5,0.6873333333333334,0.5,0.0,0.125,0.0,1
FINANCE,Realtor,0.012720103363178088,0.012084098195019183,0.5,0.422,0.5,0.0,0.0,0.0,0
ACCOUNTANT,Senior Accountant,0.21933900001497975,0.20837205001423076,1.0,0.26566666666666666,0.5,6.0,0.0,0.07810383117891548,1
HR,T Mobile Work From Home – Customer Service Associate Expert – $20/hr.,0.05633972463956095,0.0535227384075829,0.5,0.0,0.5,11.0,0.0,0.0,1
ENGINEERING,Project Manager,0.0470433960839596,0.04469122627976162,0.5,0.0,0.5,25.0,0.125,0.0,0
SALES,Senior Catering Sales Executive,0.07758364799682368,0.0737044655969825,0.5,0.22,0.5,4.0,0.0,0.047432564369400035,1
BUSINESS-DEVELOPMENT,Manager Business Development,0.08339139904030905,0.0792218290882936,0.5,0.0,0.5,11.0,0.125,0.02347842310115271,1
BUSINESS-DEVELOPMENT,Senior Accountant,0.019691501185917327,0.01870692612662146,0.0,0.29550612800726284,0.5,0.0,0.0,0.0,1
PUBLIC-RELATIONS,"Remote - Release Project Manager - San Diego, CA or North Carolina",0.059110062895059386,0.056154559750306414,0.5,0.0,0.5,0.0,0.125,0.008868816823444509,0
ENGINEERING,Bilingual Spanish CUSTOMER SERVICE REPRESENTATIVE Work From Home...,0.05653931605250458,0.05371235024987935,0.5,0.0,0.5,12.0,0.0,0.0,0
CONSULTANT,"Manager, Business Strategy And Operations",0.03900909152255941,0.03705863694643144,0.5,0.0,0.5,4.0,0.0,0.0,0
AVIATION,"Director, Digital Strategy",0.052688809754458846,0.0500543692667359,0.5,0.0,0.5,0.0,0.0,0.0,0
CHEF,Service Manager,0.08430973135946493,0.08009424479149167,0.5,0.0,0.5,5.0,0.0,0.0,0
CONSTRUCTION,"Vice President, Business Development",0.03925866800219453,0.0372957346020848,0.5,0.0,0.5,7.0,0.0,0.0,0
INFORMATION-TECHNOLOGY,System Software Development Engineer - Entry Level,0.051022210160381255,0.04847109965236219,0.0,0.0,0.0,9.0,0.0,0.0,1
BUSINESS-DEVELOPMENT,"Director, Digital Strategy",0.10275674083968146,0.09761890379769739,0.5,0.0,0.5,5.0,0.125,0.0,1
INFORMATION-TECHNOLOGY,Retail Sales Associate,0.03753209842652124,0.03565549350519518,0.5,0.0,0.5,0.0,0.0,0.0,0
ENGINEERING,Data Analyst/Manager,0.04342869817048514,0.041257263261960886,0.5,0.036333333333333336,0.5,0.0,0.0,0.009858562540090638,0
BUSINESS-DEVELOPMENT,Business Development Representative,0.07599593831918502,0.07219614140322576,0.5,0.0,0.5,15.0,0.125,0.0,1
SALES,E-Commerce Account Manager,0.05203691285513267,0.04943506721237603,0.5,0.05907859078590786,0.5,2.0,0.0,0.0,0
SALES,Sales Associate/Beauty Advisor,0.08385088104383762,0.07965833699164573,0.0,0.17590571802706242,0.5,0.0,0.0,0.04220166890638128,1
ENGINEERING,Apple Solutions Consultant,0.04071166100405721,0.038676077953854346,0.5,0.7246666666666667,0.5,10.0,0.0,0.05353225557834328,0
INFORMATION-TECHNOLOGY,Systems Administrator,0.20704630621623893,0.19669399090542697,0.0,0.32,0.0,0.0,0.0,0.17824641782326897,1
INFORMATION-TECHNOLOGY,Retail Sales Associate,0.07283004369430142,0.06918854150958635,0.5,0.0,0.5,0.0,0.125,0.0,1
FITNESS,Entry Level Surveillance Investigator,0.05028351163450663,0.047769336052781296,0.5,0.0,0.5,20.0,0.0,0.0070431458484844535,1
CONSTRUCTION,Construction Project Manager - Remote,0.1535637179769995,0.14588553207814953,0.5,0.0,0.5,30.0,0.125,0.05355095314996731,1
ADVOCATE,Project Intern,0.0398065964427924,0.03781626662065278,0.5,0.6966666666666667,0.5,0.0,0.125,0.0,0
DIGITAL-MEDIA,"Software Engineer - Reno, NV",0.06900669689117463,0.0655563620466159,0.0,0.0,0.0,0.0,0.125,0.0,0
ADVOCATE,RN Supervisor,0.05649107617759385,0.05366652236871416,0.5,0.0,0.5,0.0,0.0,0.0,0
ACCOUNTANT,Biotech Equity Research Associate,0.060269499963902386,0.05725602496570727,0.5,0.456,0.5,6.0,0.0,0.0349455887557239,0
ARTS,Manager ecommerce,0.009937637981375345,0.009440756082306576,0.5,0.49233333333333335,0.5,0.0,0.0,0.0,0
ACCOUNTANT,Office Administrator,0.07766714992745866,0.07378379243108572,0.0,0.0,0.5,0.0,0.0,0.046853696187606916,0
ENGINEERING,Associate Software Engineering,0.11181196706997591,0.10622136871647711,0.5,0.0,0.5,3.0,0.125,0.0,1
FINANCE,Systems Analyst - Appserver Admin,0.06264367489584571,0.059511491151053426,0.0,0.0,0.0,0.0,0.0,0.0,1
DIGITAL-MEDIA,Marketing Specialist,0.13860112408235326,0.1316710678782356,0.5,0.694,0.5,0.0,0.25,0.07268474564636572,1
INFORMATION-TECHNOLOGY,CNC Programmer,0.038963858026935416,0.03701566512558865,0.5,0.0,0.5,0.0,0.0,0.004845037787029038,1
INFORMATION-TECHNOLOGY,Remote Software Developer (Remote),0.0885089224441715,0.08408347632196292,0.0,0.0,0.0,7.0,0.25,0.0,1
HEALTHCARE,Chief Executive Officer - Healthcare - Columbus,0.09574140309517885,0.09095433294041991,0.5,0.17,0.5,0.0,0.125,0.0369672067791042,1
ENGINEERING,"Senior Data Security Engineer, Vice President - Remote",0.06580689808643224,0.06251655318211062,0.5,0.0,0.5,6.0,0.125,0.0,1
HEALTHCARE,Medical Receptionist / Registrar,0.06371026998686187,0.060524756487518774,0.5,0.6863333333333334,0.5,0.0,0.125,0.0,1
HEALTHCARE,"VP, Healthcare Services",0.09835329923651324,0.09343563427468758,0.5,0.0,0.5,20.0,0.0,0.0,1
INFORMATION-TECHNOLOGY,"Senior Accountant, Banking (Lakewood)",0.05913841613499347,0.05618149532824379,0.5,0.0,0.5,0.0,0.125,0.019044510638716296,0
SALES,Sales Representative / Sales Associate,0.060647423135802785,0.05761505197901264,0.5,0.3526666666666667,0.5,6.0,0.0,0.0,1
AVIATION,Career Coach Waitlist (Part-time/Contract/US Remote),0.05552677710297203,0.05275043824782343,0.0,0.0,0.0,0.0,0.125,0.02994277545509931,0
INFORMATION-TECHNOLOGY,Multi-Media Advertising Sales Executive,0.10063884384085059,0.09560690164880806,1.0,0.0,0.5,13.0,0.0,0.04801419094487174,0
SALES,"Real Estate Sales Agent (Draw + Commission) Remote - Cleveland, OH",0.0662002732602277,0.06289025959721632,0.5,0.1849039749888343,0.5,0.0,0.0,0.08748564618231576,1
ADVOCATE,Talent Acquisition Specialist,0.005490038491700352,0.0052155365671153345,0.5,0.8296666666666667,0.5,0.0,0.0,0.0,0
HEALTHCARE,Medical Receptionist,0.060904219823189006,0.05785900883202955,0.5,0.4266666666666667,0.5,4.0,0.125,0.08258335458971076,1
SALES,Entry-Level Sales,0.033737389089569816,0.032050519635091326,0.5,0.31024930747922436,0.5,0.0,0.125,0.0,1
HR,Business Development Manager - Talent and Technology Solutions,0.08297603028563713,0.07882722877135527,0.5,0.193,0.5,0.0,0.0,0.036405723175111544,1
HEALTHCARE,Tele-Telemetry Nurse RN - Travel Jobs,0.04502024063965213,0.042769228607669525,0.0,0.262,0.5,0.0,0.0,0.0,1
BUSINESS-DEVELOPMENT,"Senior Accountant - Florham Park, NJ",0.07068331865381658,0.06714915272112575,1.0,0.4308532997057587,0.5,8.0,0.0,0.03842455163951145,1
ACCOUNTANT,Staff Accountant,0.17802781157637315,0.16912642099755448,0.0,0.0,0.5,0.0,0.0,0.0,1
DIGITAL-MEDIA,Marketing Director,0.15374641423099394,0.14605909351944424,0.0,0.0,0.5,12.0,0.0,0.0,1
DESIGNER,"Global Investment Research, Equity Research, Heathcare - Biotech...",0.06450402129976743,0.061278820234779055,0.0,0.32866666666666666,0.5,0.0,0.125,0.07970251181266945,1
ARTS,Product Development Associate in NYC,0.07766102050127831,0.07377796947621439,0.5,0.495,0.5,0.0,0.125,0.0,0
BUSINESS-DEVELOPMENT,Business Sales Account Executive,0.09122390447960113,0.08666270925562107,0.5,0.0,0.5,0.0,0.0,0.0,1
CONSULTANT,Perioperative Educator,0.04503211138148963,0.042780505812415145,0.5,0.037,0.5,0.0,0.125,0.0,0
HEALTHCARE,"Advocate, Patient Empowerment- REMOTE",0.07576983549506842,0.071981343720315,0.5,0.0,0.5,0.0,0.0,0.0,1
AGRICULTURE, Construction Project Manager,0.05317001637144265,0.05051151555287051,0.5,0.0,0.5,0.0,0.0,0.04848109221283395,0
CHEF,Restaurant Operations Manager,0.07877964859909682,0.07484066616914198,0.5,0.0,0.5,0.0,0.25,0.0,1
TEACHER,"Attorney in Brooklyn, NY",0.01443777611620969,0.013715887310399206,0.5,0.728,0.5,0.0,0.0,0.0,0
BANKING,Data Analytics Senior Mangager,0.03213956100110558,0.030532582951050297,0.5,0.26367408525084873,0.5,0.0,0.0,0.0,1
DESIGNER,"HR Director, Americas",0.03592406938044868,0.03412786591142625,0.5,0.43333333333333335,0.5,0.0,0.0,0.0,0
ENGINEERING,"Marketing Director – E-Learning – Columbus, OH",0.12627777387286154,0.11996388517921847,0.5,0.03766666666666667,0.5,12.0,0.125,0.02044596346248873,0
APPAREL,Business Development Manager - Talent and Technology Solutions,0.062103255552506315,0.058998092774880995,0.5,0.193,0.5,0.0,0.125,0.017295428911038052,0
CONSULTANT,Executive Assistant - Cardiology,0.046492086291633636,0.044167481977051955,0.5,0.0,0.5,0.0,0.125,0.0,0
FITNESS,Human Resources Internship - Corporate  (Year-Round),0.07356614401883155,0.06988783681788997,0.0,0.0,0.5,0.0,0.0,0.0,0
SALES,Retail Floor Leader - Anthem,0.053514901799201195,0.050839156709241135,0.5,0.31366666666666665,0.5,13.0,0.0,0.10649353495101233,1
FITNESS,"Assistant Manager, Social Media, La Mer",0.07110258894967238,0.06754745950218875,0.5,0.0,0.5,0.0,0.125,0.0,0
ENGINEERING,Executive Assistant - New York Office,0.002581852577291664,0.002452759948427081,0.5,0.8916666666666667,0.5,5.0,0.125,0.0,0
SALES,"Business Analyst, ACS Publications Sales",0.07539265889131798,0.07162302594675207,0.0,0.0,0.0,0.0,0.0,0.0,1
SALES,Data Entry Operator - REMOTE,0.04237195837835054,0.04025336045943301,0.5,0.4444444444444444,0.5,0.0,0.0,0.013198723559859979,0
FITNESS,Technical Support Representative - Work from Home!,0.0496900592931444,0.04720555632848718,0.5,0.0,0.5,0.0,0.0,0.06619682290853321,0
DIGITAL-MEDIA,Digital Marketing Specialist,0.023357400379251155,0.022189530360288597,0.5,0.5866666666666667,0.5,20.0,0.25,0.0,1
AGRICULTURE,"Sr. Product Marketing Manager - Growth, Music Industry",0.014308430829382691,0.013593009287913555,0.5,0.0,0.5,0.0,0.125,0.0,0
SALES,Retail Sales Associate,0.04565509348494277,0.043372338810695625,0.5,0.42333333333333334,0.5,0.0,0.125,0.016112979897128725,1
AVIATION,"Coach, Career Prep",0.022835235594062663,0.02169347381435953,0.5,0.0,0.5,0.0,0.0,0.017843565914650403,0
ADVOCATE,Commercial Real Estate Attorney,0.04395749064217041,0.04175961611006189,0.5,0.5706666666666667,0.5,10.0,0.0,0.01051842704376461,1
SALES,Retail Sales Associate,0.0462496106810308,0.04393713014697925,0.5,0.0,0.5,20.0,0.0,0.0,1
HEALTHCARE,Medical Office Specialist,0.07701534290792951,0.07316457576253303,0.5,0.0,0.5,0.0,0.125,0.0,1
APPAREL,Test Developer,0.039262216123671694,0.037299105317488104,0.0,0.3443333333333333,0.0,0.0,0.0,0.0,0
FITNESS,Warehouse Manager,0.018423656041623125,0.017502473239541967,0.5,0.8286666666666667,0.5,0.0,0.0,0.0,0
BUSINESS-DEVELOPMENT,E-Commerce Account Manager,0.1027571692047026,0.09761931074446746,0.5,0.385,0.5,0.0,0.0,0.0,1
FINANCE,CDL A Regional Drivers,0.0053031646543414196,0.0050380064216243485,0.5,0.8103333333333333,0.5,0.0,0.0,0.0,0
BUSINESS-DEVELOPMENT,Sr. Director/Head of Strategy and Business Operations,0.05783584394227279,0.05494405174515915,0.5,0.0,0.5,0.0,0.0,0.0,1
DIGITAL-MEDIA,Marketing Coordinator,0.08038524187339124,0.07636597977972168,0.0,0.18233333333333332,0.5,0.0,0.25,0.04408320257678626,1
CONSULTANT,Part-Time Customer Service Representative (Remote),0.06984807734783953,0.06635567348044755,0.0,0.17,0.5,14.0,0.125,0.050150237794338685,0
TEACHER,Program Coordinator - Adult And Community Education,0.1308047569905441,0.1242645191410169,0.5,0.0,0.5,9.0,0.0,0.0,1
BUSINESS-DEVELOPMENT,Business Development Manager - Talent and Technology Solutions,0.09467778986700737,0.08994390037365699,0.5,0.193,0.5,0.0,0.0,0.04560181870337632,1
SALES,"Commission Sales Associate - Men's, Full Time - Beverly Center",0.10744045285547782,0.10206843021270393,0.5,0.0,0.5,0.0,0.25,0.06895298185584678,1
